time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
437,20,15,15,15,20,20,20,20,20,15
438,18,15,15,15,18,18,18,18,18,15
439,16,17,17,17,16,16,16,16,16,17
440,13,17,17,17,13,13,13,13,13,17
441,16,17,17,17,16,16,16,16,16,17
442,19,15,15,15,19,19,19,19,19,15
443,16,15,15,15,16,16,16,16,16,15
444,19,15,15,15,19,19,19,19,19,15
445,22,17,17,17,22,22,22,22,22,17
446,16,17,17,17,16,16,16,16,16,17
447,25,17,17,17,25,25,25,25,25,17
448,22,15,15,15,22,22,22,22,22,15
449,19,15,15,15,19,19,19,19,19,15
450,25,15,15,15,25,25,25,25,25,15
451,22,17,17,17,22,22,22,22,22,17
452,18,17,17,17,18,18,18,18,18,17
453,25,17,17,17,25,25,25,25,25,17
454,22,15,15,15,22,22,22,22,22,15
455,16,15,15,15,16,16,16,16,16,15
456,25,15,15,15,25,25,25,25,25,15
457,21,19,19,19,21,21,21,21,21,19
458,18,19,19,19,18,18,18,18,18,19
459,23,19,19,19,23,23,23,23,23,19
460,19,15,15,15,19,19,19,19,19,15
461,16,15,15,15,16,16,16,16,16,15
462,24,15,15,15,24,24,24,24,24,15
463,18,19,19,19,18,18,18,18,18,19
464,15,19,19,19,15,15,15,15,15,19
465,23,19,19,19,23,23,23,23,23,19
466,18,15,15,15,18,18,18,18,18,15
467,15,15,15,15,15,15,15,15,15,15
468,21,15,15,15,21,21,21,21,21,15
469,16,20,15,20,16,16,16,16,16,20
470,11,20,15,20,11,11,11,11,11,20
471,19,20,15,20,19,19,19,19,19,20
472,16,22,15,22,16,16,16,16,16,22
473,14,22,15,22,14,14,14,14,14,22
474,19,22,15,22,19,19,19,19,19,22
475,16,20,15,20,16,16,16,16,16,20
476,12,20,15,20,12,12,12,12,12,20
477,19,20,15,20,19,19,19,19,19,20
478,16,18,15,18,16,16,16,16,16,18
479,11,18,15,18,11,11,11,11,11,18
480,19,18,15,18,19,19,19,19,19,18
481,16,17,15,17,16,16,16,16,16,17
482,10,17,15,17,10,10,10,10,10,17
483,19,17,15,17,19,19,19,19,19,17
484,13,20,15,20,13,13,13,13,13,20
485,10,20,15,20,10,10,10,10,10,20
486,19,20,15,20,19,19,19,19,19,20
487,13,18,15,18,13,13,13,13,13,18
488,10,18,15,18,10,10,10,10,10,18
489,18,18,15,18,18,18,18,18,18,18
490,13,17,15,17,13,13,13,13,13,17
491,10,17,15,17,10,10,10,10,10,17
492,16,17,15,17,16,16,16,16,16,17
493,11,15,9,15,11,11,11,11,11,15
494,8,15,9,15,8,8,8,8,8,15
495,14,15,9,15,14,14,14,14,14,15
496,11,17,9,17,11,11,11,11,11,17
497,10,17,9,17,10,10,10,10,10,17
498,14,17,9,17,14,14,14,14,14,17
499,11,0,9,18,11,11,11,11,11,0
500,8,0,9,18,8,8,8,8,8,0
501,14,0,9,18,14,14,14,14,14,0
502,11,10,0,18,11,11,11,11,11,10
503,6,10,0,18,6,6,6,6,6,10
504,14,10,0,18,14,14,14,14,14,10
505,10,17,11,17,10,10,10,10,10,17
506,4,17,11,17,4,4,4,4,4,17
507,13,17,11,17,13,13,13,13,13,17
508,10,20,11,20,10,10,10,10,10,20
509,7,20,11,20,7,7,7,7,7,20
510,13,20,11,20,13,13,13,13,13,20
511,10,18,11,18,10,10,10,10,10,18
512,6,18,11,18,6,6,6,6,6,18
513,13,18,11,18,13,13,13,13,13,18
514,10,17,11,17,10,10,10,10,10,17
515,4,17,11,17,4,4,4,4,4,17
516,13,17,11,17,13,13,13,13,13,17
517,8,0,12,18,8,8,8,8,8,0
518,5,0,12,18,5,5,5,5,5,0
519,11,0,12,18,11,11,11,11,11,0
520,10,17,12,17,10,10,10,10,10,17
521,5,17,12,17,5,5,5,5,5,17
522,13,17,12,17,13,13,13,13,13,17
523,11,0,12,18,11,11,11,11,11,0
524,5,0,12,18,5,5,5,5,5,0
525,14,0,12,18,14,14,14,14,14,0
526,4,0,0,18,4,4,4,4,4,11
527,4,17,17,17,4,4,4,4,4,11
528,4,15,15,15,4,4,4,4,4,11
529,4,14,10,14,4,4,4,4,4,14
530,1,14,10,14,1,1,1,1,1,14
531,4,14,10,14,4,4,4,4,4,14
532,10,17,10,17,10,10,10,10,10,17
533,4,17,10,17,4,4,4,4,4,17
534,10,17,10,17,10,10,10,10,10,17
535,13,20,10,20,13,13,13,13,13,20
536,10,20,10,20,10,10,10,10,10,20
537,13,20,10,20,13,13,13,13,13,20
538,16,0,10,23,16,16,16,16,16,0
539,16,14,14,23,16,16,16,16,16,14
540,16,17,17,23,16,16,16,16,16,17
541,14,22,22,22,14,14,14,14,14,22
542,11,22,22,22,11,11,11,11,11,22
543,14,22,22,22,14,14,14,14,14,22
544,18,22,22,22,11,18,18,18,18,22
545,14,22,22,22,11,14,14,14,14,22
546,18,22,22,22,11,18,18,18,18,22
547,23,22,22,22,14,23,23,23,23,22
548,18,22,22,22,14,18,18,18,18,22
549,23,22,22,22,14,23,23,23,23,22
550,11,22,22,22,18,26,11,11,11,22
551,11,0,0,0,18,26,11,11,11,0
552,14,0,0,0,18,26,14,14,14,0
553,20,0,0,0,17,26,20,20,20,0
554,20,0,0,0,17,20,20,20,20,0
555,23,0,0,0,17,23,23,23,23,0
556,26,0,0,0,26,26,26,26,26,0
557,23,0,0,0,23,23,23,23,23,0
558,26,0,0,0,26,26,26,26,26,0
559,29,0,0,0,29,29,29,29,29,0
560,26,0,0,0,26,26,26,26,26,0
561,29,0,0,0,29,29,29,29,29,0
562,32,0,0,0,32,32,32,32,32,0
563,29,0,0,0,29,29,29,29,29,0
564,26,0,0,0,26,26,26,26,26,0
565,31,0,0,0,31,31,31,31,31,0
566,28,0,0,0,28,28,28,28,28,0
567,25,0,0,0,25,25,25,25,25,0
568,30,0,0,0,30,30,30,30,30,0
569,27,0,0,0,27,27,27,27,27,0
570,24,0,0,0,24,24,24,24,24,0
571,29,0,0,0,29,29,29,29,29,0
572,26,0,0,0,26,26,26,26,26,0
573,23,0,0,0,23,23,23,23,23,0
574,28,0,0,0,28,28,28,28,28,0
575,25,0,0,0,25,25,25,25,25,0
576,22,0,0,0,22,22,22,22,22,0
577,27,0,0,0,27,27,27,27,27,0
578,24,0,0,0,24,24,24,24,24,0
579,21,0,0,0,21,21,21,21,21,0
580,26,0,0,0,26,26,26,26,26,0
581,23,0,0,0,23,23,23,23,23,0
582,20,0,0,0,20,20,20,20,20,0
583,25,0,0,0,25,25,25,25,25,0
584,22,0,0,0,22,22,22,22,22,0
585,19,0,0,0,19,19,19,19,19,0
586,24,0,0,0,24,24,24,24,24,0
587,21,0,0,0,21,21,21,21,21,0
588,18,0,0,0,18,18,18,18,18,0
589,23,0,0,0,23,23,23,23,23,0
590,23,0,0,0,23,23,23,23,23,0
591,23,0,0,0,23,23,23,23,23,0
592,23,0,0,0,23,23,23,23,23,0
593,23,0,0,0,23,23,23,23,23,0
594,23,0,0,0,23,23,23,23,23,0
595,23,15,21,12,17,20,14,11,23,18
596,23,15,21,12,17,20,14,11,23,18
597,23,15,21,12,17,20,14,11,23,18
598,23,15,21,12,17,20,14,11,23,18
599,23,15,21,12,17,20,14,11,23,18
600,23,15,21,12,17,20,14,11,23,18
601,23,10,22,15,18,23,11,14,23,18
602,23,10,22,15,18,23,11,14,23,18
603,23,10,22,15,18,23,11,14,23,18
604,23,10,22,15,18,23,11,14,23,18
605,23,10,22,15,18,23,11,14,23,18
606,23,10,22,15,18,23,11,14,23,18
607,22,10,22,17,18,16,22,22,13,10
